1 0.5
2 -1.5
3 -2.5
4 -3.0
5 -3.5
6 -8.5
7 -9.0
8 -10.5
9 -9.5
10 -9.5
11 -10.5
12 -11.0
13 -8.5
14 -9.0
15 -10.0
16 -11.0
17 -8.5
18 -5.0
19 -5.0
20 -1.5
21 -2.0
22 -1.0
23 -0.5
24 -1.5
25 -0.5
26 -3.0
27 -2.0
28 -4.0
29 -5.0
30 -3.5
31 -2.5
32 0.0
33 2.0
34 4.0
35 5.0
36 5.0
37 6.5
38 5.5
39 7.0
40 8.0
41 11.0
42 9.0
43 7.5
44 8.5
45 8.5
46 9.5
47 12.0
48 10.0
49 10.0
50 9.0
51 5.5
52 7.5
53 10.0
54 10.5
55 8.5
56 10.0
57 9.5
58 6.5
59 6.5
60 6.0
61 4.0
62 6.0
63 5.5
64 5.0
65 3.0
66 4.0
67 2.0
68 3.0
69 4.0
70 5.0
71 7.0
72 4.5
73 4.5
74 5.0
75 4.5
76 3.5
77 6.5
78 6.5
79 7.0
80 10.0
81 9.5
82 7.5
83 8.5
84 8.0
85 8.5
86 7.0
87 8.0
88 7.5
89 10.5
90 9.0
91 8.5
92 9.0
93 10.0
94 10.0
95 12.5
96 12.5
97 12.5
98 13.5
99 12.5
